"GEO_ID","POPGROUP","POPGROUP_TTL","NAME","B19013_001E","B19013_001M"
"id","Race/Ethnic Group","Population Groups","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)"
"0500000US19059","002","White alone","Dickinson County, Iowa","51284","2421"
"0500000US19113","012","Asian alone (400-499)","Linn County, Iowa","60115","18192"
"0500000US19115","002","White alone","Louisa County, Iowa","50827","2717"
"0500000US19179","070","Some other race alone","Wapello County, Iowa","50238","21917"
"0500000US19047","070","Some other race alone","Crawford County, Iowa","42174","14994"
"0500000US19049","002","White alone","Dallas County, Iowa","67609","2152"
"0500000US19045","004","Black or African American alone","Clinton County, Iowa","18854","14178"
"0500000US19169","070","Some other race alone","Story County, Iowa","40000","18149"
"0500000US19195","002","White alone","Worth County, Iowa","49653","2202"
"0500000US19197","002","White alone","Wright County, Iowa","44352","2045"
"0500000US19061","004","Black or African American alone","Dubuque County, Iowa","17302","5612"
"0500000US19163","070","Some other race alone","Scott County, Iowa","38036","8096"
"0500000US19193","012","Asian alone (400-499)","Woodbury County, Iowa","59479","3379"
"0500000US19167","002","White alone","Sioux County, Iowa","51980","1768"
"0500000US19077","002","White alone","Guthrie County, Iowa","50954","3406"
"0500000US19103","070","Some other race alone","Johnson County, Iowa","55543","20634"
"0500000US19189","002","White alone","Winnebago County, Iowa","42237","3002"
"0500000US19065","002","White alone","Fayette County, Iowa","41094","1332"
"0500000US19099","002","White alone","Jasper County, Iowa","46504","1499"
"0500000US19113","002","White alone","Linn County, Iowa","54746","1068"
"0500000US19181","002","White alone","Warren County, Iowa","62166","1972"
"0500000US19187","002","White alone","Webster County, Iowa","42041","1621"
"0500000US19121","002","White alone","Madison County, Iowa","53391","2984"
"0500000US19133","002","White alone","Monona County, Iowa","41613","2866"
"0500000US19013","070","Some other race alone","Black Hawk County, Iowa","32292","25889"
