"GEO_ID","POPGROUP","POPGROUP_LABEL","NAME","B19013_001E","B19013_001M"
"id","Race/Ethnic Group","Population Groups","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)"
"0500000US19001","002","White alone","Adair County, Iowa","46330","2716"
"0500000US19003","002","White alone","Adams County, Iowa","48587","5354"
"0500000US19005","002","White alone","Allamakee County, Iowa","46212","2488"
"0500000US19007","002","White alone","Appanoose County, Iowa","41801","1858"
"0500000US19009","002","White alone","Audubon County, Iowa","46840","4670"
"0500000US19011","002","White alone","Benton County, Iowa","60820","2741"
"0500000US19013","004","Black or African American alone","Black Hawk County, Iowa","25471","2821"
"0500000US19013","002","White alone","Black Hawk County, Iowa","51200","1004"
"0500000US19013","012","Asian alone (400-499)","Black Hawk County, Iowa","51528","18457"
"0500000US19013","070","Some other race alone","Black Hawk County, Iowa","62857","17346"
"0500000US19015","002","White alone","Boone County, Iowa","52616","2145"
"0500000US19017","002","White alone","Bremer County, Iowa","62058","2044"
"0500000US19019","002","White alone","Buchanan County, Iowa","56487","2033"
"0500000US19021","004","Black or African American alone","Buena Vista County, Iowa","19104","5718"
"0500000US19021","002","White alone","Buena Vista County, Iowa","49912","2336"
"0500000US19021","012","Asian alone (400-499)","Buena Vista County, Iowa","74883","24522"
"0500000US19021","070","Some other race alone","Buena Vista County, Iowa","43167","22615"
"0500000US19023","002","White alone","Butler County, Iowa","52265","1441"
"0500000US19025","002","White alone","Calhoun County, Iowa","44842","2970"
"0500000US19027","002","White alone","Carroll County, Iowa","51558","3596"
"0500000US19029","002","White alone","Cass County, Iowa","43972","2398"
"0500000US19031","002","White alone","Cedar County, Iowa","58619","2706"
"0500000US19033","004","Black or African American alone","Cerro Gordo County, Iowa","38628","19411"
"0500000US19033","002","White alone","Cerro Gordo County, Iowa","46361","1449"
"0500000US19035","002","White alone","Cherokee County, Iowa","48558","4398"
"0500000US19037","002","White alone","Chickasaw County, Iowa","47344","2449"
"0500000US19039","002","White alone","Clarke County, Iowa","42865","3064"
"0500000US19041","002","White alone","Clay County, Iowa","51044","3426"
"0500000US19043","002","White alone","Clayton County, Iowa","48023","1516"
"0500000US19045","002","White alone","Clinton County, Iowa","52613","2308"
"0500000US19045","004","Black or African American alone","Clinton County, Iowa","19125","9660"
"0500000US19047","070","Some other race alone","Crawford County, Iowa","43036","23436"
"0500000US19047","002","White alone","Crawford County, Iowa","47846","4017"
"0500000US19049","002","White alone","Dallas County, Iowa","77282","2428"
"0500000US19049","012","Asian alone (400-499)","Dallas County, Iowa","78794","23663"
"0500000US19049","070","Some other race alone","Dallas County, Iowa","39929","28085"
"0500000US19051","002","White alone","Davis County, Iowa","48842","2855"
"0500000US19053","002","White alone","Decatur County, Iowa","38682","2697"
"0500000US19055","002","White alone","Delaware County, Iowa","58612","2258"
"0500000US19057","004","Black or African American alone","Des Moines County, Iowa","19318","8341"
"0500000US19057","002","White alone","Des Moines County, Iowa","45519","1409"
"0500000US19059","002","White alone","Dickinson County, Iowa","57324","2447"
"0500000US19061","004","Black or African American alone","Dubuque County, Iowa","18625","5622"
"0500000US19061","002","White alone","Dubuque County, Iowa","55889","1192"
"0500000US19061","012","Asian alone (400-499)","Dubuque County, Iowa","47083","28147"
"0500000US19063","002","White alone","Emmet County, Iowa","47732","3841"
"0500000US19065","002","White alone","Fayette County, Iowa","45513","2310"
"0500000US19067","002","White alone","Floyd County, Iowa","44947","3245"
"0500000US19069","002","White alone","Franklin County, Iowa","50241","3296"
"0500000US19071","002","White alone","Fremont County, Iowa","53647","2748"
"0500000US19073","002","White alone","Greene County, Iowa","47261","3045"
"0500000US19075","002","White alone","Grundy County, Iowa","56648","2531"
"0500000US19077","002","White alone","Guthrie County, Iowa","51382","1734"
"0500000US19079","002","White alone","Hamilton County, Iowa","51702","2891"
"0500000US19081","002","White alone","Hancock County, Iowa","53187","3561"
"0500000US19083","002","White alone","Hardin County, Iowa","50965","1617"
"0500000US19085","002","White alone","Harrison County, Iowa","53709","2916"
"0500000US19087","002","White alone","Henry County, Iowa","48938","2631"
"0500000US19089","002","White alone","Howard County, Iowa","50151","3207"
"0500000US19091","002","White alone","Humboldt County, Iowa","47466","3621"
"0500000US19093","002","White alone","Ida County, Iowa","47633","2895"
"0500000US19095","002","White alone","Iowa County, Iowa","60325","5210"
"0500000US19097","002","White alone","Jackson County, Iowa","49616","2743"
"0500000US19099","004","Black or African American alone","Jasper County, Iowa","36635","18019"
"0500000US19099","002","White alone","Jasper County, Iowa","55551","2175"
"0500000US19101","012","Asian alone (400-499)","Jefferson County, Iowa","null","null"
"0500000US19101","002","White alone","Jefferson County, Iowa","43615","3350"
"0500000US19101","070","Some other race alone","Jefferson County, Iowa","null","null"
"0500000US19103","002","White alone","Johnson County, Iowa","60022","2124"
"0500000US19103","004","Black or African American alone","Johnson County, Iowa","27608","5225"
"0500000US19103","012","Asian alone (400-499)","Johnson County, Iowa","39875","4224"
"0500000US19103","070","Some other race alone","Johnson County, Iowa","47377","15934"
"0500000US19105","004","Black or African American alone","Jones County, Iowa","null","null"
"0500000US19105","002","White alone","Jones County, Iowa","55341","3240"
"0500000US19107","002","White alone","Keokuk County, Iowa","44524","3250"
"0500000US19109","002","White alone","Kossuth County, Iowa","51899","2150"
"0500000US19111","004","Black or African American alone","Lee County, Iowa","31953","5700"
"0500000US19111","002","White alone","Lee County, Iowa","43871","1885"
"0500000US19113","004","Black or African American alone","Linn County, Iowa","26900","6931"
"0500000US19113","012","Asian alone (400-499)","Linn County, Iowa","75086","6500"
