"Territorial emissions in MtCO₂"
;EU27;China;India;Indonesia;Iran;Japan;"Russian Federation";"Saudi Arabia";"South Korea";"United States of America"
1960;2067.815;778.9795;111.49;21.3852;37.3586;232.4996;885.8611;2.6744;12.5401;2887.8204
1961;2157.6341;550.9585;120.5823;26.0016;36.5088;282.7869;913.5253;3.5683;14.4487;2877.3698
1962;2312.4478;439.3421;132.7753;22.9749;37.4284;292.8644;958.7569;6.25;17.2616;2984.0017
1963;2500.4096;435.5176;142.6513;22.7631;41.3049;324.8355;1028.2184;6.9388;21.0832;3116.0224
1964;2611.5381;435.7037;139.687;22.3743;47.5191;358.8911;1093.5194;7.0412;22.1952;3252.7552
1965;2655.7916;474.6806;153.9205;24.6682;53.7184;386.4712;1159.9853;4.2163;24.9783;3388.1927
1966;2715.4034;521.4589;159.5929;23.375;64.1034;419.2451;1224.9762;6.4073;29.9822;3559.1792
1967;2777.1347;432.2236;159.7793;24.54;67.8809;489.3074;1280.8961;25.4855;35.1132;3693.2982
1968;2949.0837;467.8056;174.3017;27.5626;82.3296;561.9126;1316.8934;29.0791;37.1971;3828.3061
1969;3150.7783;575.9447;177.6448;33.3622;83.0387;653.2154;1371.4841;35.271;42.4682;4021.5026
1970;3298.3805;770.1672;181.9545;35.7914;91.7875;767.9631;1442.5301;45.2513;53.7164;4325.5008
1971;3382.0789;874.0164;192.2019;38.9553;101.6278;796.5444;1530.8887;59.7566;58.5498;4351.3087
1972;3509.6034;928.894;203.2881;43.3063;106.0152;852.1705;1610.796;70.2817;60.2773;4558.4526
1973;3693.4071;965.6466;209.3536;49.0981;129.4753;914.2657;1678.9147;95.0535;73.0319;4762.4522
1974;3674.0858;985.0852;216.1265;51.2265;143.7754;914.3068;1742.9339;98.7018;75.6331;4592.9583
1975;3586.9728;1142.1019;234.5119;53.9325;139.214;868.5114;1832.1552;83.2608;81.784;4400.795
1976;3879.8108;1190.9645;245.0663;61.7883;156.4591;907.1454;1902.632;101.4595;93.2708;4607.1682
1977;3832.6499;1304.4028;259.2948;82.4164;163.7319;933.2387;1967.2754;118.0703;105.6916;4735.3663
1978;3965.6227;1455.2575;263.4773;93.9382;162.1039;901.5914;2034.8065;115.0243;113.4017;4882.964
1979;4095.1808;1487.1131;276.6237;95.1371;163.6733;953.0729;2051.6149;138.0043;133.2189;4894.0429
1980;4056.0477;1458.8867;292.0814;94.873;120.5645;944.8703;2132.3011;169.2398;134.8886;4716.7164
1981;3843.2724;1442.7823;315.3608;100.2972;112.5286;926.8374;2091.6525;175.3034;139.7775;4530.3698
1982;3752.4862;1570.4683;325.7799;105.5842;137.515;897.4097;2131.1358;157.8914;141.9832;4301.9707
1983;3712.3358;1655.8105;352.6351;105.1841;149.2134;880.9115;2161.3377;160.8347;151.0378;4335.9166
1984;3741.9472;1802.3171;361.9938;112.4605;149.9427;937.0721;2180.4956;155.5102;164.0488;4468.2621
1985;3799.6372;1951.7732;398.0674;121.5977;159.9471;912.403;2351.6754;172.4185;178.4848;4484.3382
1986;3790.1436;2052.242;426.8222;122.1665;147.536;912.2622;2357.6425;204.6006;182.6718;4487.8559
1987;3823.8921;2191.053;455.8911;123.8789;158.6074;902.5328;2347.9122;190.4437;192.9399;4680.8341
1988;3781.328;2347.7635;492.288;132.7217;175.1078;985.4671;2410.6272;202.2477;222.3078;4885.5905
1989;3821.0909;2386.885;541.2893;131.6742;190.098;1021.6848;2356.6303;203.4192;236.2482;4948.0212
